"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2013","1.2399","1.2360","1.2420","1.2352","","0.32%"
"07/05/2013","1.2360","1.2352","1.2403","1.2330","","0.11%"
"07/04/2013","1.2347","1.2315","1.2380","1.2302","","0.28%"
"07/03/2013","1.2313","1.2338","1.2352","1.2279","","-0.17%"
"07/02/2013","1.2334","1.2350","1.2385","1.2323","","-0.11%"
"07/01/2013","1.2347","1.2292","1.2384","1.2282","","0.47%"
"06/28/2013","1.2289","1.2323","1.2359","1.2281","","-0.24%"
"06/27/2013","1.2319","1.2271","1.2344","1.2256","","0.42%"
"06/26/2013","1.2267","1.2276","1.2288","1.2237","","-0.02%"
"06/25/2013","1.2269","1.2242","1.2300","1.2232","","0.29%"
"06/24/2013","1.2234","1.2259","1.2284","1.2216","","-0.20%"
"06/21/2013","1.2259","1.2257","1.2293","1.2239","","0.06%"
"06/20/2013","1.2252","1.2342","1.2354","1.2239","","-0.67%"
"06/19/2013","1.2335","1.2328","1.2366","1.2304","","0.11%"
"06/18/2013","1.2322","1.2335","1.2361","1.2287","","-0.07%"
"06/17/2013","1.2331","1.2298","1.2367","1.2278","","0.30%"
"06/14/2013","1.2294","1.2330","1.2342","1.2273","","-0.27%"
"06/13/2013","1.2327","1.2279","1.2338","1.2220","","0.44%"
"06/12/2013","1.2273","1.2312","1.2338","1.2249","","-0.31%"
"06/11/2013","1.2311","1.2373","1.2391","1.2262","","-0.45%"
"06/10/2013","1.2367","1.2363","1.2424","1.2348","","-0.06%"
"06/07/2013","1.2374","1.2310","1.2384","1.2260","","0.54%"
"06/06/2013","1.2307","1.2337","1.2392","1.2265","","-0.24%"
"06/05/2013","1.2336","1.2388","1.2416","1.2306","","-0.36%"
"06/04/2013","1.2380","1.2386","1.2432","1.2374","","-0.02%"
"06/03/2013","1.2383","1.2382","1.2496","1.2332","","-0.21%"
"05/31/2013","1.2409","1.2435","1.2465","1.2378","","-0.19%"
"05/30/2013","1.2433","1.2444","1.2516","1.2418","","-0.10%"
"05/29/2013","1.2445","1.2559","1.2576","1.2432","","-0.88%"
"05/28/2013","1.2556","1.2455","1.2577","1.2442","","0.86%"
"05/27/2013","1.2449","1.2439","1.2478","1.2406","","0.14%"
"05/24/2013","1.2431","1.2532","1.2552","1.2403","","-0.79%"
"05/23/2013","1.2530","1.2579","1.2601","1.2417","","-0.34%"
"05/22/2013","1.2573","1.2521","1.2655","1.2512","","0.44%"
"05/21/2013","1.2518","1.2455","1.2533","1.2447","","0.53%"
"05/20/2013","1.2452","1.2482","1.2512","1.2432","","-0.24%"
"05/17/2013","1.2482","1.2428","1.2497","1.2411","","0.45%"
"05/16/2013","1.2426","1.2435","1.2487","1.2380","","-0.02%"
"05/15/2013","1.2429","1.2494","1.2529","1.2420","","-0.46%"
"05/14/2013","1.2487","1.2420","1.2506","1.2380","","0.60%"
"05/13/2013","1.2413","1.2406","1.2493","1.2389","","-0.12%"
"05/10/2013","1.2428","1.2368","1.2463","1.2357","","0.53%"
"05/09/2013","1.2363","1.2307","1.2412","1.2279","","0.48%"
"05/08/2013","1.2304","1.2299","1.2353","1.2293","","0.07%"
"05/07/2013","1.2296","1.2270","1.2342","1.2251","","0.24%"
"05/06/2013","1.2266","1.2274","1.2297","1.2254","","0.04%"
"05/03/2013","1.2261","1.2215","1.2283","1.2205","","0.41%"
"05/02/2013","1.2211","1.2224","1.2266","1.2193","","-0.04%"
"05/01/2013","1.2216","1.2237","1.2269","1.2217","","-0.14%"
"04/30/2013","1.2233","1.2268","1.2283","1.2224","","-0.22%"
"04/29/2013","1.2260","1.2286","1.2313","1.2260","","-0.11%"
"04/26/2013","1.2273","1.2298","1.2316","1.2247","","-0.15%"
"04/25/2013","1.2291","1.2324","1.2353","1.2281","","-0.24%"
"04/24/2013","1.2320","1.2293","1.2349","1.2258","","0.24%"
"04/23/2013","1.2290","1.2209","1.2297","1.2185","","0.70%"
"04/22/2013","1.2204","1.2215","1.2229","1.2175","","0.21%"
"04/19/2013","1.2178","1.2173","1.2198","1.2159","","0.08%"
"04/18/2013","1.2168","1.2159","1.2179","1.2146","","0.16%"
"04/17/2013","1.2148","1.2158","1.2171","1.2132","","-0.03%"
"04/16/2013","1.2152","1.2145","1.2176","1.2136","","0.13%"
"04/15/2013","1.2136","1.2161","1.2178","1.2131","","-0.12%"
"04/12/2013","1.2150","1.2201","1.2206","1.2151","","-0.38%"
"04/11/2013","1.2196","1.2187","1.2209","1.2177","","0.07%"
"04/10/2013","1.2188","1.2199","1.2209","1.2170","","-0.05%"
"04/09/2013","1.2194","1.2171","1.2216","1.2164","","0.27%"
"04/08/2013","1.2161","1.2140","1.2176","1.2125","","0.20%"
"04/05/2013","1.2137","1.2155","1.2192","1.2132","","-0.12%"
"04/04/2013","1.2152","1.2144","1.2176","1.2128","","0.10%"
"04/03/2013","1.2140","1.2166","1.2187","1.2129","","-0.17%"
"04/02/2013","1.2161","1.2165","1.2184","1.2134","","0.04%"
"04/01/2013","1.2156","1.2170","1.2184","1.2156","","-0.08%"
"03/29/2013","1.2166","1.2175","1.2180","1.2156","","-0.05%"
"03/28/2013","1.2172","1.2187","1.2207","1.2155","","-0.13%"
"03/27/2013","1.2188","1.2195","1.2203","1.2165","","-0.02%"
"03/26/2013","1.2190","1.2194","1.2222","1.2185","","0.01%"
"03/25/2013","1.2189","1.2212","1.2260","1.2178","","-0.20%"
"03/22/2013","1.2214","1.2212","1.2241","1.2193","","0.06%"
"03/21/2013","1.2207","1.2221","1.2243","1.2193","","-0.09%"
"03/20/2013","1.2218","1.2189","1.2244","1.2185","","0.22%"
"03/19/2013","1.2191","1.2263","1.2273","1.2175","","-0.51%"
"03/18/2013","1.2254","1.2190","1.2291","1.2165","","-0.14%"
"03/15/2013","1.2271","1.2314","1.2338","1.2254","","-0.36%"
"03/14/2013","1.2315","1.2347","1.2375","1.2305","","-0.22%"
"03/13/2013","1.2342","1.2342","1.2353","1.2300","","0.01%"
"03/12/2013","1.2341","1.2355","1.2375","1.2319","","-0.11%"
"03/11/2013","1.2354","1.2371","1.2384","1.2342","","-0.12%"
