"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2014","140.37","140.65","141.06","140.16","","-0.18%"
"03/26/2014","140.62","141.40","141.53","140.48","","-0.52%"
"03/25/2014","141.36","141.50","141.62","140.69","","-0.08%"
"03/24/2014","141.47","141.01","141.91","140.70","","0.34%"
"03/21/2014","140.99","141.11","141.35","140.42","","-0.05%"
"03/20/2014","141.06","141.54","141.75","140.77","","-0.34%"
"03/19/2014","141.54","141.36","141.95","141.05","","0.16%"
"03/18/2014","141.32","141.69","142.01","140.74","","-0.23%"
"03/17/2014","141.65","140.99","142.01","140.68","","0.46%"
"03/14/2014","141.00","141.25","141.53","140.43","","-0.16%"
"03/13/2014","141.22","142.88","143.43","140.69","","-1.14%"
"03/12/2014","142.85","142.79","143.00","142.22","","0.07%"
"03/11/2014","142.75","143.31","143.48","142.62","","-0.36%"
"03/10/2014","143.27","143.29","143.63","142.64","","0.00%"
"03/07/2014","143.27","142.86","143.82","142.52","","0.32%"
"03/06/2014","142.82","140.51","142.93","140.45","","1.67%"
"03/05/2014","140.48","140.47","140.80","140.16","","0.03%"
"03/04/2014","140.44","139.34","140.55","139.26","","0.82%"
"03/03/2014","139.30","139.99","140.08","139.13","","-0.85%"
"02/28/2014","140.50","140.01","141.15","139.10","","0.38%"
"02/27/2014","139.97","140.13","140.24","138.77","","-0.09%"
"02/26/2014","140.09","140.51","140.81","139.63","","-0.29%"
"02/25/2014","140.50","140.77","140.99","140.11","","-0.19%"
"02/24/2014","140.77","140.87","141.07","140.32","","-0.04%"
"02/21/2014","140.83","140.32","141.30","140.26","","0.39%"
"02/20/2014","140.28","140.51","140.65","139.20","","-0.15%"
"02/19/2014","140.49","140.82","140.95","139.98","","-0.22%"
"02/18/2014","140.80","139.73","141.07","139.53","","0.82%"
"02/17/2014","139.65","139.33","139.79","138.94","","0.24%"
"02/14/2014","139.32","139.77","140.08","138.98","","-0.29%"
"02/13/2014","139.73","139.39","139.95","138.86","","0.27%"
"02/12/2014","139.35","139.98","140.07","138.66","","-0.43%"
"02/11/2014","139.95","139.55","140.31","139.26","","0.32%"
"02/10/2014","139.50","139.50","139.84","139.15","","-0.01%"
"02/07/2014","139.51","138.76","139.62","137.79","","0.58%"
"02/06/2014","138.71","137.30","138.86","136.75","","1.04%"
"02/05/2014","137.28","137.43","137.57","136.54","","-0.09%"
"02/04/2014","137.40","136.60","137.48","136.22","","0.62%"
"02/03/2014","136.55","137.71","138.14","136.33","","-0.76%"
"01/31/2014","137.59","139.26","139.52","137.48","","-1.16%"
"01/30/2014","139.21","139.77","139.98","138.88","","-0.37%"
"01/29/2014","139.73","140.75","141.29","139.04","","-0.70%"
"01/28/2014","140.71","140.20","141.01","140.13","","0.39%"
